id,title,content,url,source_type,category,tags,author,publication_date,last_updated,embedding,metadata
1,"Breast Cancer Treatment Overview","Breast cancer treatment options include surgery, radiation therapy, chemotherapy, hormone therapy, and targeted therapy. The treatment plan depends on the cancer stage, tumor characteristics, and patient preferences. Tamoxifen is commonly prescribed for hormone receptor-positive breast cancers.","https://cancer-resource.org/breast-cancer","medical journal","Oncology","{breast cancer,tamoxifen,chemotherapy}","Dr. Jane Smith","2024-01-15","2025-03-01T00:00:00Z",NULL,"{""importance"": ""high"", ""reading_level"": ""general""}"
2,"Prostate Cancer Management","Prostate cancer treatment may include active surveillance, surgery, radiation therapy, hormone therapy, chemotherapy, and immunotherapy. Hormone therapy like Enzalutamide works by blocking the effect of testosterone on prostate cancer cells.","https://cancer-resource.org/prostate-cancer","medical journal","Oncology","{prostate cancer,hormone therapy,enzalutamide}","Dr. Robert Johnson","2024-02-10","2025-03-01T00:00:00Z",NULL,"{""importance"": ""high"", ""reading_level"": ""general""}"
3,"Colorectal Cancer Treatment Guidelines","Colorectal cancer treatment typically involves surgery, chemotherapy, and radiation therapy. The FOLFOX regimen (FOLinic acid, Fluorouracil, OXaliplatin) is a standard chemotherapy protocol for stage III colorectal cancer.","https://cancer-resource.org/colorectal-cancer","medical journal","Oncology","{colorectal cancer,FOLFOX,chemotherapy}","Dr. Maria Garcia","2024-01-05","2025-03-01T00:00:00Z",NULL,"{""importance"": ""medium"", ""reading_level"": ""general""}"
4,"Lung Cancer Immunotherapy","Immunotherapy has revolutionized the treatment of non-small cell lung cancer. Pembrolizumab is an immune checkpoint inhibitor that helps the immune system recognize and attack cancer cells. It's typically administered intravenously every three weeks.","https://cancer-resource.org/lung-cancer","medical journal","Oncology","{lung cancer,immunotherapy,pembrolizumab}","Dr. David Lee","2024-02-20","2025-03-01T00:00:00Z",NULL,"{""importance"": ""medium"", ""reading_level"": ""general""}"
5,"Acute Myeloid Leukemia Treatment","Acute Myeloid Leukemia (AML) treatment typically begins with intensive chemotherapy using cytarabine and an anthracycline like idarubicin. This induction therapy aims to achieve complete remission, followed by consolidation therapy and possibly stem cell transplantation.","https://cancer-resource.org/leukemia","medical journal","Oncology","{leukemia,AML,chemotherapy}","Dr. Sarah Williams","2024-03-01","2025-03-01T00:00:00Z",NULL,"{""importance"": ""high"", ""reading_level"": ""general""}"
6,"Cancer Risk from Smoking","Smoking causes at least 16 different types of cancer and is the biggest cause of lung cancer in the UK. Smoking causes other diseases too, such as heart disease and various lung diseases. If you smoke, stopping completely is the best thing you can do for your health. Both the amount you smoke, and the length of time you've been smoking for, affect your cancer risk. The more cigarettes you smoke a day, the higher your risk of cancer. So reducing the number of cigarettes you smoke a day is a good first step. But the number of years you smoke for affects your cancer risk the most. So it's important to make a plan to stop smoking completely. The sooner you stop, the lower your risk of cancer. Everyone who smokes can benefit from stopping, and it's never too late to stop - even if you've smoked for years.","https://cancer-resource.org/smoking-risk","patient education","Prevention","{smoking,cancer risk,lung cancer,prevention}","Cancer Research UK","2024-01-10","2025-02-15T00:00:00Z",NULL,"{""importance"": ""high"", ""reading_level"": ""general""}"
7,"Types of Cancer Caused by Smoking","The link between smoking and cancer is very clear. It causes at least 16 different types of cancer, including two of the most common types: lung cancer and bowel cancer. Cancers caused by smoking include: nose and sinuses, mouth, pharynx (upper throat), larynx (voice box), oesophagus (food pipe), lung, breast, liver, stomach, kidney, pancreas, bowel, ovary, bladder, cervix, and some types of leukaemia.","https://cancer-resource.org/smoking-cancers","patient education","Prevention","{smoking,cancer types,lung cancer,bowel cancer}","Cancer Research UK","2024-01-12","2025-02-15T00:00:00Z",NULL,"{""importance"": ""high"", ""reading_level"": ""general""}"
8,"Breast Cancer Survival Rates","Generally for women with breast cancer in England: Around 95 out of every 100 women (around 95%) survive their cancer for 1 year or more after diagnosis. Around 85 out of every 100 women (around 85%) will survive their cancer for 5 years or more after diagnosis. Around 75 out of every 100 women (around 75%) will survive their cancer for 10 years or more after diagnosis.","https://cancer-resource.org/breast-cancer-survival","medical statistics","Oncology","{breast cancer,survival rates,prognosis,statistics}","Cancer Research UK","2024-02-05","2025-02-20T00:00:00Z",NULL,"{""importance"": ""medium"", ""reading_level"": ""general""}"
9,"Chemotherapy Side Effects Explained","Chemotherapy doesn't only kill cancer cells. It also affects healthy body tissues where the cells are constantly growing and dividing, such as: your hair, your bone marrow, your skin and the lining of your digestive system. The damage to these cells can cause side effects. But normal cells can replace or repair the healthy cells that are damaged by chemotherapy. So the damage to healthy cells doesn't usually last. Most side effects disappear once your treatment is over. Some side effects such as sickness or diarrhoea might only happen during the days you are having the drugs.","https://cancer-resource.org/chemo-side-effects","patient education","Treatment","{chemotherapy,side effects,treatment,cancer therapy}","Dr. Emily Chen","2024-02-18","2025-02-25T00:00:00Z",NULL,"{""importance"": ""high"", ""reading_level"": ""general""}"
10,"How Degarelix Works for Prostate Cancer","Prostate cancer depends on testosterone to grow. Hormone therapy blocks or lowers the amount of testosterone in the body. Degarelix works by blocking messages from a part of the brain called the hypothalamus that tells the pituitary gland to produce luteinising hormone. Luteinising hormone tells the testicles to produce testosterone. So degarelix stops the testicles from making testosterone. This type of hormone therapy is called a gonadotrophin-releasing hormone antagonist or GnRH blocker.","https://cancer-resource.org/degarelix","medication guide","Treatment","{prostate cancer,degarelix,hormone therapy,GnRH blocker}","Dr. Michael Brown","2024-01-25","2025-02-10T00:00:00Z",NULL,"{""importance"": ""medium"", ""reading_level"": ""general""}"
11,"Discussing Life Expectancy with Cancer","People with cancer and their families often want to know how long a person is expected to live. Your doctor won't be able to give you an exact answer. Everyone is different, and no one can say exactly how long you will live. But do ask if you feel you need to. You can explain that you don't expect them to be completely accurate, but you need to plan the time you have left. Your doctor might be able to give you an estimated time, based on how long other people with your type and stage of cancer have lived. Remember that your doctor's answer is an estimate. The actual time could be shorter or longer than they say. It's easier for doctors to estimate a likely time if they have been treating you for a while and know you well. The doctors and nurses you see regularly will know how things are going for you. It could be tough if your doctors tell you that you only have a very short time left (for example, weeks). You might have to make some serious decisions based on this information. It might feel very strange if you live longer than your doctor estimates. Some people say they feel as though other people are waiting for them to die. It can help to talk this through with someone.","https://cancer-resource.org/life-expectancy","patient support","Palliative Care","{prognosis,life expectancy,end of life,communication}","Dr. Lisa Wong","2024-03-05","2025-03-01T00:00:00Z",NULL,"{""importance"": ""high"", ""reading_level"": ""sensitive""}"
